event_id,timestamp,minutes,home_score,away_score,chl_line,chl_hi,chl_low
20200214FRI24,2020-02-15 05:25:10,1:25:10,0,0,5.5,1.81,1.89
20200214FRI24,2020-02-15 05:25:10,1:25:10,0,0,6.5,2.90,1.35
20200214FRI24,2020-02-15 05:25:20,1:25:20,0,0,5.5,1.81,1.89
20200214FRI24,2020-02-15 05:25:20,1:25:20,0,0,6.5,2.90,1.35
20200214FRI24,2020-02-15 05:25:30,1:25:30,0,0,5.5,1.81,1.89
20200214FRI24,2020-02-15 05:25:30,1:25:30,0,0,6.5,2.90,1.35
20200214FRI24,2020-02-15 05:25:40,1:25:40,0,0,5.5,1.87,1.83
20200214FRI24,2020-02-15 05:25:40,1:25:40,0,0,6.5,3.10,1.31
20200214FRI24,2020-02-15 05:25:50,1:25:50,0,0,5.5,1.87,1.83
20200214FRI24,2020-02-15 05:25:50,1:25:50,0,0,6.5,3.10,1.31
20200214FRI24,2020-02-15 05:26:00,1:26:00,0,0,5.5,1.87,1.83
20200214FRI24,2020-02-15 05:26:00,1:26:00,0,0,6.5,3.10,1.31
20200214FRI24,2020-02-15 05:26:10,1:26:10,0,0,5.5,1.87,1.83
20200214FRI24,2020-02-15 05:26:10,1:26:10,0,0,6.5,3.10,1.31
20200214FRI24,2020-02-15 05:26:21,1:26:21,0,0,5.5,1.95,1.75
20200214FRI24,2020-02-15 05:26:21,1:26:21,0,0,6.5,3.30,1.28
20200214FRI24,2020-02-15 05:26:31,1:26:31,0,0,5.5,1.95,1.75
20200214FRI24,2020-02-15 05:26:31,1:26:31,0,0,6.5,3.30,1.28
20200214FRI24,2020-02-15 05:26:41,1:26:41,0,0,5.5,1.95,1.75
20200214FRI24,2020-02-15 05:26:41,1:26:41,0,0,6.5,3.30,1.28
20200214FRI24,2020-02-15 05:26:51,1:26:51,0,0,5.5,1.95,1.75
20200214FRI24,2020-02-15 05:26:51,1:26:51,0,0,6.5,3.30,1.28
20200214FRI24,2020-02-15 05:27:01,1:27:01,0,0,5.5,1.95,1.75
20200214FRI24,2020-02-15 05:27:01,1:27:01,0,0,6.5,3.30,1.28
20200214FRI24,2020-02-15 05:27:11,1:27:11,0,0,5.5,1.95,1.75
20200214FRI24,2020-02-15 05:27:11,1:27:11,0,0,6.5,3.30,1.28
20200214FRI24,2020-02-15 05:27:22,1:27:22,0,0,5.5,2.04,1.69
20200214FRI24,2020-02-15 05:27:22,1:27:22,0,0,6.5,3.55,1.25
20200214FRI24,2020-02-15 05:27:32,1:27:32,0,0,5.5,2.04,1.69
20200214FRI24,2020-02-15 05:27:32,1:27:32,0,0,6.5,3.55,1.25
20200214FRI24,2020-02-15 05:27:42,1:27:42,0,0,5.5,2.04,1.69
20200214FRI24,2020-02-15 05:27:42,1:27:42,0,0,6.5,3.55,1.25
20200214FRI24,2020-02-15 05:27:52,1:27:52,0,0,5.5,2.12,1.64
20200214FRI24,2020-02-15 05:27:52,1:27:52,0,0,6.5,3.70,1.23
20200214FRI24,2020-02-15 05:28:02,1:28:02,0,0,5.5,2.12,1.64
20200214FRI24,2020-02-15 05:28:02,1:28:02,0,0,6.5,3.70,1.23
20200214FRI24,2020-02-15 05:28:12,1:28:12,0,0,5.5,2.12,1.64
20200214FRI24,2020-02-15 05:28:12,1:28:12,0,0,6.5,3.70,1.23
20200214FRI24,2020-02-15 05:29:03,1:29:03,0,0,6.5,2.22,1.58
20200214FRI24,2020-02-15 05:29:03,1:29:03,0,0,7.5,4.00,1.20
20200214FRI24,2020-02-15 05:29:13,1:29:13,0,0,6.5,2.22,1.58
20200214FRI24,2020-02-15 05:29:13,1:29:13,0,0,7.5,4.00,1.20
20200214FRI24,2020-02-15 05:29:23,1:29:23,0,0,6.5,2.22,1.58
20200214FRI24,2020-02-15 05:29:23,1:29:23,0,0,7.5,4.00,1.20
20200214FRI24,2020-02-15 05:29:33,1:29:33,0,0,6.5,2.22,1.58
20200214FRI24,2020-02-15 05:29:33,1:29:33,0,0,7.5,4.00,1.20
20200214FRI24,2020-02-15 05:29:43,1:29:43,0,0,6.5,2.22,1.58
20200214FRI24,2020-02-15 05:29:43,1:29:43,0,0,7.5,4.00,1.20
20200214FRI24,2020-02-15 05:29:54,1:29:54,0,0,6.5,2.35,1.52
