event_id,timestamp,game_starting_time,minutes,home,away,home_score,away_score,chl_line,chl_hi,chl_low
20200214FRI1,2020-02-14 16:32:10,2020-02-14 16:30:00,0:02:10,Adelaide Utd,Central Coast Mariners,vs,vs,14.5,3.70,1.23
20200214FRI1,2020-02-14 16:32:20,2020-02-14 16:30:00,0:02:20,Adelaide Utd,Central Coast Mariners,vs,vs,11.5,1.90,1.80
20200214FRI1,2020-02-14 16:32:20,2020-02-14 16:30:00,0:02:20,Adelaide Utd,Central Coast Mariners,vs,vs,12.5,2.35,1.52
20200214FRI1,2020-02-14 16:32:20,2020-02-14 16:30:00,0:02:20,Adelaide Utd,Central Coast Mariners,vs,vs,14.5,3.70,1.23
20200214FRI1,2020-02-14 16:32:30,2020-02-14 16:30:00,0:02:30,Adelaide Utd,Central Coast Mariners,vs,vs,11.5,1.90,1.80
20200214FRI1,2020-02-14 16:32:30,2020-02-14 16:30:00,0:02:30,Adelaide Utd,Central Coast Mariners,vs,vs,12.5,2.35,1.52
20200214FRI1,2020-02-14 16:32:30,2020-02-14 16:30:00,0:02:30,Adelaide Utd,Central Coast Mariners,vs,vs,14.5,3.70,1.23
20200214FRI1,2020-02-14 16:32:41,2020-02-14 16:30:00,0:02:41,Adelaide Utd,Central Coast Mariners,vs,vs,11.5,1.90,1.80
20200214FRI1,2020-02-14 16:32:41,2020-02-14 16:30:00,0:02:41,Adelaide Utd,Central Coast Mariners,vs,vs,12.5,2.35,1.52
20200214FRI1,2020-02-14 16:32:41,2020-02-14 16:30:00,0:02:41,Adelaide Utd,Central Coast Mariners,vs,vs,14.5,3.70,1.23
20200214FRI1,2020-02-14 16:32:51,2020-02-14 16:30:00,0:02:51,Adelaide Utd,Central Coast Mariners,vs,vs,11.5,1.90,1.80
20200214FRI1,2020-02-14 16:32:51,2020-02-14 16:30:00,0:02:51,Adelaide Utd,Central Coast Mariners,vs,vs,12.5,2.35,1.52
20200214FRI1,2020-02-14 16:32:51,2020-02-14 16:30:00,0:02:51,Adelaide Utd,Central Coast Mariners,vs,vs,14.5,3.70,1.23
20200214FRI1,2020-02-14 16:33:01,2020-02-14 16:30:00,0:03:01,Adelaide Utd,Central Coast Mariners,vs,vs,11.5,1.90,1.80
20200214FRI1,2020-02-14 16:33:01,2020-02-14 16:30:00,0:03:01,Adelaide Utd,Central Coast Mariners,vs,vs,12.5,2.35,1.52
20200214FRI1,2020-02-14 16:33:01,2020-02-14 16:30:00,0:03:01,Adelaide Utd,Central Coast Mariners,vs,vs,14.5,3.70,1.23
20200214FRI1,2020-02-14 16:33:12,2020-02-14 16:30:00,0:03:12,Adelaide Utd,Central Coast Mariners,vs,vs,11.5,1.90,1.80
20200214FRI1,2020-02-14 16:33:12,2020-02-14 16:30:00,0:03:12,Adelaide Utd,Central Coast Mariners,vs,vs,12.5,2.35,1.52
20200214FRI1,2020-02-14 16:33:12,2020-02-14 16:30:00,0:03:12,Adelaide Utd,Central Coast Mariners,vs,vs,14.5,3.70,1.23
20200214FRI1,2020-02-14 16:33:22,2020-02-14 16:30:00,0:03:22,Adelaide Utd,Central Coast Mariners,vs,vs,11.5,1.90,1.80
20200214FRI1,2020-02-14 16:33:22,2020-02-14 16:30:00,0:03:22,Adelaide Utd,Central Coast Mariners,vs,vs,12.5,2.35,1.52
20200214FRI1,2020-02-14 16:33:22,2020-02-14 16:30:00,0:03:22,Adelaide Utd,Central Coast Mariners,vs,vs,14.5,3.70,1.23
20200214FRI1,2020-02-14 16:33:32,2020-02-14 16:30:00,0:03:32,Adelaide Utd,Central Coast Mariners,vs,vs,11.5,1.90,1.80
20200214FRI1,2020-02-14 16:33:32,2020-02-14 16:30:00,0:03:32,Adelaide Utd,Central Coast Mariners,vs,vs,12.5,2.35,1.52
20200214FRI1,2020-02-14 16:33:32,2020-02-14 16:30:00,0:03:32,Adelaide Utd,Central Coast Mariners,vs,vs,14.5,3.70,1.23
20200214FRI1,2020-02-14 16:33:42,2020-02-14 16:30:00,0:03:42,Adelaide Utd,Central Coast Mariners,vs,vs,11.5,1.90,1.80
20200214FRI1,2020-02-14 16:33:42,2020-02-14 16:30:00,0:03:42,Adelaide Utd,Central Coast Mariners,vs,vs,12.5,2.35,1.52
20200214FRI1,2020-02-14 16:33:42,2020-02-14 16:30:00,0:03:42,Adelaide Utd,Central Coast Mariners,vs,vs,14.5,3.70,1.23
20200214FRI1,2020-02-14 16:33:53,2020-02-14 16:30:00,0:03:53,Adelaide Utd,Central Coast Mariners,vs,vs,11.5,1.90,1.80
20200214FRI1,2020-02-14 16:33:53,2020-02-14 16:30:00,0:03:53,Adelaide Utd,Central Coast Mariners,vs,vs,12.5,2.35,1.52
20200214FRI1,2020-02-14 16:33:53,2020-02-14 16:30:00,0:03:53,Adelaide Utd,Central Coast Mariners,vs,vs,14.5,3.70,1.23
20200214FRI1,2020-02-14 16:34:03,2020-02-14 16:30:00,0:04:03,Adelaide Utd,Central Coast Mariners,vs,vs,11.5,1.90,1.80
20200214FRI1,2020-02-14 16:34:03,2020-02-14 16:30:00,0:04:03,Adelaide Utd,Central Coast Mariners,vs,vs,12.5,2.35,1.52
20200214FRI1,2020-02-14 16:34:03,2020-02-14 16:30:00,0:04:03,Adelaide Utd,Central Coast Mariners,vs,vs,14.5,3.70,1.23
20200214FRI1,2020-02-14 16:34:13,2020-02-14 16:30:00,0:04:13,Adelaide Utd,Central Coast Mariners,vs,vs,11.5,1.90,1.80
20200214FRI1,2020-02-14 16:34:13,2020-02-14 16:30:00,0:04:13,Adelaide Utd,Central Coast Mariners,vs,vs,12.5,2.35,1.52
20200214FRI1,2020-02-14 16:34:13,2020-02-14 16:30:00,0:04:13,Adelaide Utd,Central Coast Mariners,vs,vs,14.5,3.70,1.23
20200214FRI1,2020-02-14 16:34:24,2020-02-14 16:30:00,0:04:24,Adelaide Utd,Central Coast Mariners,vs,vs,11.5,1.90,1.80
20200214FRI1,2020-02-14 16:34:24,2020-02-14 16:30:00,0:04:24,Adelaide Utd,Central Coast Mariners,vs,vs,12.5,2.35,1.52
20200214FRI1,2020-02-14 16:34:24,2020-02-14 16:30:00,0:04:24,Adelaide Utd,Central Coast Mariners,vs,vs,14.5,3.70,1.23
20200214FRI1,2020-02-14 16:34:34,2020-02-14 16:30:00,0:04:34,Adelaide Utd,Central Coast Mariners,vs,vs,11.5,1.90,1.80
20200214FRI1,2020-02-14 16:34:34,2020-02-14 16:30:00,0:04:34,Adelaide Utd,Central Coast Mariners,vs,vs,12.5,2.35,1.52
20200214FRI1,2020-02-14 16:34:34,2020-02-14 16:30:00,0:04:34,Adelaide Utd,Central Coast Mariners,vs,vs,14.5,3.70,1.23
20200214FRI1,2020-02-14 16:34:44,2020-02-14 16:30:00,0:04:44,Adelaide Utd,Central Coast Mariners,vs,vs,11.5,1.90,1.80
20200214FRI1,2020-02-14 16:34:44,2020-02-14 16:30:00,0:04:44,Adelaide Utd,Central Coast Mariners,vs,vs,12.5,2.35,1.52
20200214FRI1,2020-02-14 16:34:44,2020-02-14 16:30:00,0:04:44,Adelaide Utd,Central Coast Mariners,vs,vs,14.5,3.70,1.23
20200214FRI1,2020-02-14 16:34:55,2020-02-14 16:30:00,0:04:55,Adelaide Utd,Central Coast Mariners,vs,vs,11.5,1.90,1.80
20200214FRI1,2020-02-14 16:34:55,2020-02-14 16:30:00,0:04:55,Adelaide Utd,Central Coast Mariners,vs,vs,12.5,2.35,1.52
20200214FRI1,2020-02-14 16:34:55,2020-02-14 16:30:00,0:04:55,Adelaide Utd,Central Coast Mariners,vs,vs,14.5,3.70,1.23
20200214FRI1,2020-02-14 16:35:05,2020-02-14 16:30:00,0:05:05,Adelaide Utd,Central Coast Mariners,vs,vs,11.5,1.90,1.80
20200214FRI1,2020-02-14 16:35:05,2020-02-14 16:30:00,0:05:05,Adelaide Utd,Central Coast Mariners,vs,vs,12.5,2.35,1.52
20200214FRI1,2020-02-14 16:35:05,2020-02-14 16:30:00,0:05:05,Adelaide Utd,Central Coast Mariners,vs,vs,14.5,3.70,1.23
20200214FRI1,2020-02-14 16:35:15,2020-02-14 16:30:00,0:05:15,Adelaide Utd,Central Coast Mariners,vs,vs,11.5,1.90,1.80
20200214FRI1,2020-02-14 16:35:15,2020-02-14 16:30:00,0:05:15,Adelaide Utd,Central Coast Mariners,vs,vs,12.5,2.35,1.52
