event_id,timestamp,minutes,home_score,away_score,chl_line,chl_hi,chl_low
20200215SAT3,2020-02-15 20:34:08,0:34:08,0,0,10.5,2.05,1.68
20200215SAT3,2020-02-15 20:34:08,0:34:08,0,0,11.5,2.90,1.35
20200215SAT3,2020-02-15 20:34:18,0:34:18,0,0,10.5,2.05,1.68
20200215SAT3,2020-02-15 20:34:18,0:34:18,0,0,11.5,2.90,1.35
20200215SAT3,2020-02-15 20:34:28,0:34:28,0,0,10.5,2.05,1.68
20200215SAT3,2020-02-15 20:34:28,0:34:28,0,0,11.5,2.90,1.35
20200215SAT3,2020-02-15 20:35:38,0:35:38,0,0,11.5,2.10,1.65
20200215SAT3,2020-02-15 20:35:38,0:35:38,0,0,12.5,3.00,1.33
20200215SAT3,2020-02-15 20:36:09,0:36:09,0,0,10.5,1.64,2.12
20200215SAT3,2020-02-15 20:36:09,0:36:09,0,0,11.5,2.12,1.64
20200215SAT3,2020-02-15 20:36:19,0:36:19,0,0,10.5,1.64,2.12
20200215SAT3,2020-02-15 20:36:19,0:36:19,0,0,11.5,2.12,1.64
20200215SAT3,2020-02-15 20:36:29,0:36:29,0,0,10.5,1.64,2.12
20200215SAT3,2020-02-15 20:36:29,0:36:29,0,0,11.5,2.12,1.64
20200215SAT3,2020-02-15 20:36:39,0:36:39,0,0,10.5,1.64,2.12
20200215SAT3,2020-02-15 20:36:39,0:36:39,0,0,11.5,2.12,1.64
20200215SAT3,2020-02-15 20:36:49,0:36:49,0,0,10.5,1.64,2.12
20200215SAT3,2020-02-15 20:36:49,0:36:49,0,0,11.5,2.12,1.64
20200215SAT3,2020-02-15 20:37:50,0:37:50,0,0,11.5,1.65,2.10
20200215SAT3,2020-02-15 20:37:50,0:37:50,0,0,12.5,2.13,1.63
20200215SAT3,2020-02-15 20:38:00,0:38:00,0,0,11.5,1.65,2.10
20200215SAT3,2020-02-15 20:38:00,0:38:00,0,0,12.5,2.13,1.63
20200215SAT3,2020-02-15 20:38:10,0:38:10,0,0,11.5,1.65,2.10
20200215SAT3,2020-02-15 20:38:10,0:38:10,0,0,12.5,2.13,1.63
20200215SAT3,2020-02-15 20:38:20,0:38:20,0,0,11.5,1.71,2.01
20200215SAT3,2020-02-15 20:38:20,0:38:20,0,0,12.5,2.22,1.58
20200215SAT3,2020-02-15 20:38:30,0:38:30,0,0,11.5,1.71,2.01
20200215SAT3,2020-02-15 20:38:30,0:38:30,0,0,12.5,2.22,1.58
20200215SAT3,2020-02-15 20:38:40,0:38:40,0,0,11.5,1.71,2.01
20200215SAT3,2020-02-15 20:38:40,0:38:40,0,0,12.5,2.22,1.58
20200215SAT3,2020-02-15 20:38:50,0:38:50,0,0,11.5,1.71,2.01
20200215SAT3,2020-02-15 20:38:50,0:38:50,0,0,12.5,2.22,1.58
20200215SAT3,2020-02-15 20:39:01,0:39:01,0,0,11.5,1.71,2.01
20200215SAT3,2020-02-15 20:39:01,0:39:01,0,0,12.5,2.22,1.58
20200215SAT3,2020-02-15 20:39:11,0:39:11,0,0,11.5,1.81,1.89
20200215SAT3,2020-02-15 20:39:11,0:39:11,0,0,12.5,2.40,1.50
20200215SAT3,2020-02-15 20:39:21,0:39:21,0,0,11.5,1.81,1.89
20200215SAT3,2020-02-15 20:39:21,0:39:21,0,0,12.5,2.40,1.50
20200215SAT3,2020-02-15 20:39:31,0:39:31,0,0,11.5,1.81,1.89
20200215SAT3,2020-02-15 20:39:31,0:39:31,0,0,12.5,2.40,1.50
20200215SAT3,2020-02-15 20:39:41,0:39:41,0,0,11.5,1.81,1.89
20200215SAT3,2020-02-15 20:39:41,0:39:41,0,0,12.5,2.40,1.50
20200215SAT3,2020-02-15 20:39:51,0:39:51,0,0,11.5,1.81,1.89
20200215SAT3,2020-02-15 20:39:51,0:39:51,0,0,12.5,2.40,1.50
20200215SAT3,2020-02-15 20:40:01,0:40:01,0,0,11.5,1.81,1.89
20200215SAT3,2020-02-15 20:40:01,0:40:01,0,0,12.5,2.40,1.50
20200215SAT3,2020-02-15 20:40:11,0:40:11,0,0,11.5,1.81,1.89
20200215SAT3,2020-02-15 20:40:11,0:40:11,0,0,12.5,2.40,1.50
20200215SAT3,2020-02-15 20:40:22,0:40:22,0,0,11.5,1.81,1.89
20200215SAT3,2020-02-15 20:40:22,0:40:22,0,0,12.5,2.40,1.50
20200215SAT3,2020-02-15 20:40:32,0:40:32,0,0,11.5,1.81,1.89
20200215SAT3,2020-02-15 20:40:32,0:40:32,0,0,12.5,2.40,1.50
20200215SAT3,2020-02-15 20:40:42,0:40:42,0,0,11.5,1.81,1.89
20200215SAT3,2020-02-15 20:40:42,0:40:42,0,0,12.5,2.40,1.50
20200215SAT3,2020-02-15 20:40:52,0:40:52,0,0,11.5,1.88,1.82
20200215SAT3,2020-02-15 20:40:52,0:40:52,0,0,12.5,2.50,1.46
20200215SAT3,2020-02-15 20:41:02,0:41:02,0,0,11.5,1.88,1.82
20200215SAT3,2020-02-15 20:41:02,0:41:02,0,0,12.5,2.50,1.46
20200215SAT3,2020-02-15 20:41:12,0:41:12,0,0,11.5,1.88,1.82
20200215SAT3,2020-02-15 20:41:12,0:41:12,0,0,12.5,2.50,1.46
20200215SAT3,2020-02-15 20:41:22,0:41:22,0,0,11.5,1.88,1.82
20200215SAT3,2020-02-15 20:41:22,0:41:22,0,0,12.5,2.50,1.46
20200215SAT3,2020-02-15 20:41:33,0:41:33,0,0,11.5,1.88,1.82
20200215SAT3,2020-02-15 20:41:33,0:41:33,0,0,12.5,2.50,1.46
20200215SAT3,2020-02-15 20:41:43,0:41:43,0,0,11.5,1.88,1.82
20200215SAT3,2020-02-15 20:41:43,0:41:43,0,0,12.5,2.50,1.46
20200215SAT3,2020-02-15 20:41:53,0:41:53,0,0,11.5,1.88,1.82
20200215SAT3,2020-02-15 20:41:53,0:41:53,0,0,12.5,2.50,1.46
20200215SAT3,2020-02-15 20:42:03,0:42:03,0,0,11.5,1.88,1.82
20200215SAT3,2020-02-15 20:42:03,0:42:03,0,0,12.5,2.50,1.46
20200215SAT3,2020-02-15 20:42:13,0:42:13,0,0,11.5,1.95,1.75
20200215SAT3,2020-02-15 20:42:13,0:42:13,0,0,12.5,2.68,1.41
20200215SAT3,2020-02-15 20:42:23,0:42:23,0,0,11.5,2.08,1.66
20200215SAT3,2020-02-15 20:42:23,0:42:23,0,0,12.5,2.88,1.36
20200215SAT3,2020-02-15 20:42:33,0:42:33,0,0,11.5,2.08,1.66
