event_id,timestamp,minutes,home_score,away_score,chl_line,chl_hi,chl_low
20200215SAT48,2020-02-16 00:50:08,0:00:00,vs,vs,10.5,1.80,1.90
20200215SAT48,2020-02-16 00:50:08,0:00:00,vs,vs,11.5,2.25,1.57
20200215SAT48,2020-02-16 00:50:08,0:00:00,vs,vs,14.5,5.00,1.13
20200215SAT48,2020-02-16 00:50:18,0:00:00,vs,vs,10.5,1.80,1.90
20200215SAT48,2020-02-16 00:50:18,0:00:00,vs,vs,11.5,2.25,1.57
20200215SAT48,2020-02-16 00:50:18,0:00:00,vs,vs,14.5,5.00,1.13
20200215SAT48,2020-02-16 00:50:29,0:00:00,vs,vs,10.5,1.80,1.90
20200215SAT48,2020-02-16 00:50:29,0:00:00,vs,vs,11.5,2.25,1.57
20200215SAT48,2020-02-16 00:50:29,0:00:00,vs,vs,14.5,5.00,1.13
20200215SAT48,2020-02-16 00:50:39,0:00:00,vs,vs,10.5,1.80,1.90
20200215SAT48,2020-02-16 00:50:39,0:00:00,vs,vs,11.5,2.25,1.57
20200215SAT48,2020-02-16 00:50:39,0:00:00,vs,vs,14.5,5.00,1.13
20200215SAT48,2020-02-16 00:51:30,0:00:00,vs,vs,10.5,1.80,1.90
20200215SAT48,2020-02-16 00:51:30,0:00:00,vs,vs,11.5,2.25,1.57
20200215SAT48,2020-02-16 00:51:30,0:00:00,vs,vs,14.5,5.00,1.13
20200215SAT48,2020-02-16 00:54:57,0:00:00,vs,vs,10.5,1.80,1.90
20200215SAT48,2020-02-16 00:54:57,0:00:00,vs,vs,11.5,2.25,1.57
20200215SAT48,2020-02-16 00:54:57,0:00:00,vs,vs,14.5,5.00,1.13
20200215SAT48,2020-02-16 01:24:15,0:00:00,vs,vs,10.5,1.80,1.90
20200215SAT48,2020-02-16 01:24:15,0:00:00,vs,vs,11.5,2.25,1.57
20200215SAT48,2020-02-16 01:24:15,0:00:00,vs,vs,14.5,5.00,1.13
20200215SAT48,2020-02-16 01:24:25,0:00:00,vs,vs,10.5,1.80,1.90
20200215SAT48,2020-02-16 01:24:25,0:00:00,vs,vs,11.5,2.25,1.57
20200215SAT48,2020-02-16 01:24:25,0:00:00,vs,vs,14.5,5.00,1.13
20200215SAT48,2020-02-16 01:32:21,0:02:21,0,0,10.5,1.88,1.82
20200215SAT48,2020-02-16 01:32:21,0:02:21,0,0,11.5,2.38,1.51
20200215SAT48,2020-02-16 01:32:31,0:02:31,0,0,10.5,1.88,1.82
20200215SAT48,2020-02-16 01:32:31,0:02:31,0,0,11.5,2.38,1.51
20200215SAT48,2020-02-16 01:32:41,0:02:41,0,0,10.5,1.88,1.82
20200215SAT48,2020-02-16 01:32:41,0:02:41,0,0,11.5,2.38,1.51
20200215SAT48,2020-02-16 01:32:51,0:02:51,0,0,10.5,1.88,1.82
20200215SAT48,2020-02-16 01:32:51,0:02:51,0,0,11.5,2.38,1.51
20200215SAT48,2020-02-16 01:33:02,0:03:02,0,0,10.5,1.88,1.82
20200215SAT48,2020-02-16 01:33:02,0:03:02,0,0,11.5,2.38,1.51
20200215SAT48,2020-02-16 01:33:12,0:03:12,0,0,10.5,1.88,1.82
20200215SAT48,2020-02-16 01:33:12,0:03:12,0,0,11.5,2.38,1.51
20200215SAT48,2020-02-16 01:33:22,0:03:22,0,0,10.5,1.88,1.82
20200215SAT48,2020-02-16 01:33:22,0:03:22,0,0,11.5,2.38,1.51
20200215SAT48,2020-02-16 01:33:32,0:03:32,0,0,10.5,1.95,1.75
20200215SAT48,2020-02-16 01:33:32,0:03:32,0,0,11.5,2.50,1.46
20200215SAT48,2020-02-16 01:33:42,0:03:42,0,0,10.5,1.95,1.75
20200215SAT48,2020-02-16 01:33:42,0:03:42,0,0,11.5,2.50,1.46
20200215SAT48,2020-02-16 01:33:52,0:03:52,0,0,10.5,1.95,1.75
20200215SAT48,2020-02-16 01:33:52,0:03:52,0,0,11.5,2.50,1.46
20200215SAT48,2020-02-16 01:34:03,0:04:03,0,0,10.5,1.95,1.75
20200215SAT48,2020-02-16 01:34:03,0:04:03,0,0,11.5,2.50,1.46
20200215SAT48,2020-02-16 01:34:13,0:04:13,0,0,10.5,1.95,1.75
20200215SAT48,2020-02-16 01:34:13,0:04:13,0,0,11.5,2.50,1.46
20200215SAT48,2020-02-16 01:34:23,0:04:23,0,0,10.5,1.95,1.75
20200215SAT48,2020-02-16 01:34:23,0:04:23,0,0,11.5,2.50,1.46
20200215SAT48,2020-02-16 01:34:33,0:04:33,0,0,10.5,1.95,1.75
20200215SAT48,2020-02-16 01:34:33,0:04:33,0,0,11.5,2.50,1.46
20200215SAT48,2020-02-16 01:34:43,0:04:43,0,0,10.5,1.95,1.75
20200215SAT48,2020-02-16 01:34:43,0:04:43,0,0,11.5,2.50,1.46
20200215SAT48,2020-02-16 01:34:53,0:04:53,0,0,10.5,1.95,1.75
