timestamp,line,corner_hi,corner_low
02/10/2020 04:14:19,10.5,1.74,1.97
02/10/2020 04:14:19,11.5,2.17,1.61
02/10/2020 04:14:27,10.5,1.74,1.97
02/10/2020 04:14:27,11.5,2.17,1.61
02/10/2020 04:22:03,15.5,1.97,1.74
02/10/2020 04:22:03,16.5,2.68,1.41
2020-02-10 04:40:17.602133,17.5,2.15,1.62,2020-02-10 03:45:00,0 days 00:55:17.602133000
2020-02-10 04:40:17.602133,18.5,3.10,1.31,2020-02-10 03:45:00,0 days 00:55:17.602133000
